from_stop_id,to_stop_id,from_route_id,to_route_id,from_trip_id,to_trip_id,transfer_type,min_transfer_time
33,33,,,246128424612873+2286509+0,246128424612873+2286097+0,1,
33,33,,,246130224613025+2286512+0,246130224613025+2286100+0,1,
33,33,,,246131624613655+2286512+0,246131624613655+2286100+0,1,
33,33,,,246130624613082+2286513+0,246130624613082+2286099+0,1,
33,33,,,246131224613642+2286514+0,246131224613642+2286097+0,1,
33,33,,,246131224613644+2286514+0,246131224613644+2286097+0,1,
33,33,,,246127124612732+2286524+0,246127124612732+2286112+0,1,
33,33,,,246128424612873+2286524+0,246128424612873+2286112+0,1,
33,33,,,246130524613051+2286524+0,246130524613051+2286112+0,1,
33,33,,,246131224613642+2286524+0,246131224613642+2286112+0,1,
33,33,,,246127824612804+2286526+0,246127824612804+2286114+0,1,
33,33,,,246130624613082+2286526+0,246130624613082+2286114+0,1,
33,33,,,246129224612943+2286537+0,246129224612943+2286147+0,1,
33,33,,,246129824613642+2286537+0,246131224613642+2286145+0,1,
33,33,,,246127124612733+2286548+0,246127124612733+2286160+0,1,
33,33,,,246128424612872+2286548+0,246128424612872+2286160+0,1,
33,33,,,246130524613051+2286548+0,246130524613051+2286160+0,1,
33,33,,,246131224613642+2286548+0,246131224613642+2286160+0,1,
33,33,,,246130924613095+2286549+0,246130924613095+2286164+0,1,
33,33,,,246127824612803+2286550+0,246127824612803+2286162+0,1,
33,33,,,246128424612871+2286553+0,246128424612871+2286187+0,1,
33,33,,,246129824613012+2286553+0,246129824613012+2286187+0,1,
33,33,,,246131224613643+2286553+0,246131224613643+2286187+0,1,
33,33,,,246127824612802+2286555+0,246127824612802+2286189+0,1,
33,33,,,246127824612803+2286555+0,246127824612803+2286189+0,1,
33,33,,,246127824612804+2286555+0,246127824612804+2286189+0,1,
33,33,,,246129224612942+2286555+0,246129224612942+2286189+0,1,
33,33,,,246128424612874+2286563+0,246128424612874+2286203+0,1,
33,33,,,246129824613013+2286563+0,246129824613013+2286207+0,1,
33,33,,,246131224613642+2286563+0,246131224613642+2286207+0,1,
33,33,,,246131224613643+2286563+0,246131224613643+2286207+0,1,
33,33,,,246130624613082+2286565+0,246130624613082+2286205+0,1,
33,33,,,246128824612885+2286566+0,246128824612885+2286206+0,1,
33,33,,,246128424612871+2286570+0,246128424612871+2286226+0,1,
33,33,,,246131224613641+2286570+0,246131224613641+2286226+0,1,
33,33,,,246128824612885+2286573+0,246128824612885+2286229+0,1,
33,33,,,246127424612815+2286747+0,246127424613655+2286251+0,1,
33,33,,,246127124612733+2286848+0,246127124612733+2286257+0,1,
33,33,,,246127724612771+2286848+0,246127724612871+2286257+0,1,
33,33,,,246129824613011+2286848+0,246129824613641+2286257+0,1,
33,33,,,246129824613014+2286848+0,246129824613644+2286257+0,1,
33,33,,,246131224613641+2286928+0,246131224613641+2286274+0,1,
33,33,,,246127424612815+2286929+0,246127824612815+2286275+0,1,
33,33,,,246127724612771+2286952+0,246127724612771+2286276+0,1,
33,33,,,246127824612804+2286954+0,246127824612804+2286278+0,1,
33,33,,,246129224612942+2286954+0,246129224612942+2286278+0,1,
33,33,,,246127524612756+2286981+0,246127524613666+2286600+0,1,
33,33,,,246128224612966+2286983+0,246127524613666+2286600+0,1,
33,33,,,246130324613666+2286986+0,246127524613666+2286600+0,1,
33,33,,,246127624612767+2286999+0,246127624612837+2286612+0,1,
33,33,,,246128324612977+2287011+0,246128324612837+2286622+0,1,
33,33,,,246128424612874+2287023+0,246128424612874+2286293+0,1,
33,33,,,246127424612815+2287024+0,246127424612815+2286294+0,1,
33,33,,,246127624612767+2287029+0,246127624612767+2286636+0,1,
33,33,,,246129724612977+2287035+0,246129724613607+2286637+0,1,
33,33,,,246130324613666+2287036+0,246127524613666+2286635+0,1,
