stop_id,stop_code,stop_name,stop_url,stop_timezone,stop_lat,stop_lon
HEM,HEM,Hermann,https://www.amtrak.com/stations/hem,America/Chicago,38.707283,-91.432558
HER,HER,Helper Amtrak Station,https://www.amtrak.com/stations/her,America/Denver,39.684036,-110.853894
HFD,HFD,Hartford Amtrak Station,https://www.amtrak.com/stations/hfd,America/New_York,41.768761,-72.681314
HFY,HFY,Harpers Ferry Amtrak,https://www.amtrak.com/stations/hfy,America/New_York,39.324452,-77.731078
HGD,HGD,Huntingdon Amtrak Station,https://www.amtrak.com/stations/hgd,America/New_York,40.483665,-78.01178
HHL,HHL,Haverhill Amtrak,https://www.amtrak.com/stations/hhl,America/New_York,42.773297,-71.086375
HIN,HIN,Hinton Amtrak Station,https://www.amtrak.com/stations/hin,America/New_York,37.675037,-80.892232
HLD,HLD,Holdrege,https://www.amtrak.com/stations/hld,America/Chicago,40.436013,-99.370077
HLK,HLK,Holyoke Amtrak,https://www.amtrak.com/stations/hlk,America/New_York,42.204156,-72.602309
HMD,HMD,Hammond Amtrak Station,https://www.amtrak.com/stations/hmd,America/Chicago,30.50718,-90.462169
HMI,HMI,Hammond-Whiting Amtrak Station,https://www.amtrak.com/stations/hmi,America/Chicago,41.691155,-87.506511
HMW,HMW,Homewood,https://www.amtrak.com/stations/hmw,America/Chicago,41.562446,-87.668685
HNF,HNF,Hanford,https://www.amtrak.com/stations/hnf,America/Los_Angeles,36.326078,-119.651816
HOL,HOL,Hollywood Amtrak Station,https://www.amtrak.com/stations/hol,America/New_York,26.011641,-80.167884
HOM,HOM,Holland Amtrak Station,https://www.amtrak.com/stations/hom,America/New_York,42.791096,-86.096553
HOP,HOP,Hope Amtrak Station,https://www.amtrak.com/stations/hop,America/Chicago,33.668913,-93.592247
HOS,HOS,Houston,https://www.amtrak.com/stations/hos,America/Chicago,29.767245,-95.367526
HPT,HPT,High Point,https://www.amtrak.com/stations/hpt,America/New_York,35.957128,-80.006097
HUD,HUD,Hudson Amtrak Station,https://www.amtrak.com/stations/hud,America/New_York,42.253891,-73.797729
HUN,HUN,Huntington Amtrak Station,https://www.amtrak.com/stations/hun,America/New_York,38.41582,-82.439735
HUT,HUT,Hutchinson Amtrak Station,https://www.amtrak.com/stations/hut,America/Chicago,38.055712,-97.931522
HVL,HVL,Havelock,https://www.amtrak.com/stations/hvl,America/New_York,34.891191,-76.926115
IDO,IDO,Indio Amtrak Bus Stop,https://www.amtrak.com/stations/ido,America/Los_Angeles,33.714863,-116.233132
IDP,IDP,Independence Amtrak Station,https://www.amtrak.com/stations/idp,America/Chicago,39.086917,-94.429711
IND,IND,Indianapolis,https://www.amtrak.com/stations/ind,America/New_York,39.761984,-86.160423
IRV,IRV,Irvine,https://www.amtrak.com/stations/irv,America/Los_Angeles,33.656771,-117.733695
JAN,JAN,Jackson,https://www.amtrak.com/stations/jan,America/Chicago,32.300808,-90.190936
JAX,JAX,Jacksonville,https://www.amtrak.com/stations/jax,America/New_York,30.365601,-81.723893
JEF,JEF,Jefferson City Amtrak Station,https://www.amtrak.com/stations/jef,America/Chicago,38.57887,-92.169906
JNC,JNC,Jacksonville Amtrak Bus Stop,https://www.amtrak.com/stations/jnc,America/New_York,34.748949,-77.41962
JOL,JOL,Joliet Gateway Center,https://www.amtrak.com/stations/jol,America/Chicago,41.524647,-88.078731
JSP,JSP,Jesup Amtrak Station,https://www.amtrak.com/stations/jsp,America/New_York,31.605589,-81.882173
JST,JST,Johnstown Amtrak Station,https://www.amtrak.com/stations/jst,America/New_York,40.329689,-78.921996
JXN,JXN,Jackson,https://www.amtrak.com/stations/jxn,America/New_York,42.248113,-84.39967
KAL,KAL,Kalamazoo,https://www.amtrak.com/stations/kal,America/New_York,42.295255,-85.584018
KAN,KAN,Kannapolis,https://www.amtrak.com/stations/kan,America/New_York,35.496172,-80.624928
KCY,KCY,Kansas City,https://www.amtrak.com/stations/kcy,America/Chicago,39.084576,-94.585129
KEE,KEE,Kewanee Amtrak Station,https://www.amtrak.com/stations/kee,America/Chicago,41.245765,-89.927544
KEL,KEL,Kelso-Longview,https://www.amtrak.com/stations/kel,America/Los_Angeles,46.142264,-122.913016
KFS,KFS,Klamath Falls,https://www.amtrak.com/stations/kfs,America/Los_Angeles,42.225509,-121.771952
KGC,KGC,King City Amtrak Bus Stop,https://www.amtrak.com/stations/kgc,America/Los_Angeles,36.202547,-121.136344
KIL,KIL,Killeen Amtrak Station,https://www.amtrak.com/stations/kil,America/Chicago,31.121152,-97.728617
KIN,KIN,Kingston Amtrak Station,https://www.amtrak.com/stations/kin,America/New_York,41.483959,-71.560597
KIS,KIS,Kissimmee Amtrak Station,https://www.amtrak.com/stations/kis,America/New_York,28.293835,-81.404234
KKI,KKI,Kankakee,https://www.amtrak.com/stations/kki,America/Chicago,41.119259,-87.86543
