trip_id,arrival_time,departure_time,stop_id,stop_sequence,pickup_type,drop_off_type,timepoint
222514,21:49:00,21:49:00,BWE,3,0,0,1
222514,21:55:00,21:55:00,OTN,4,0,0,1
222514,22:03:00,22:03:00,BWI,5,0,0,1
222514,22:09:00,22:09:00,HAE,6,0,0,1
222514,22:15:00,22:15:00,WBL,7,0,0,1
222514,22:34:00,22:36:00,BAL,8,0,0,1
222514,23:02:00,23:02:00,MSA,9,1,0,1
222516,22:55:00,22:55:00,WAS,1,0,0,1
222516,23:06:00,23:06:00,NCR,2,0,0,1
222516,23:14:00,23:14:00,BWE,3,0,0,1
222516,23:20:00,23:20:00,OTN,4,0,0,1
222516,23:28:00,23:28:00,BWI,5,0,0,1
222516,23:34:00,23:34:00,HAE,6,0,0,1
222516,23:41:00,23:41:00,WBL,7,0,0,1
222516,23:54:00,23:56:00,BAL,8,0,0,1
222516,24:22:00,24:22:00,MSA,9,1,0,1
222534,15:30:00,15:30:00,WAS,1,0,0,1
222534,15:41:00,15:41:00,NCR,2,0,0,1
222534,15:49:00,15:49:00,BWE,3,0,0,1
222534,15:55:00,15:55:00,OTN,4,0,0,1
222534,16:03:00,16:03:00,BWI,5,0,0,1
222534,16:09:00,16:09:00,HAE,6,0,0,1
222534,16:16:00,16:16:00,WBL,7,0,0,1
222534,16:31:00,16:36:00,BAL,8,0,0,1
222534,17:02:00,17:02:00,MSA,9,1,0,1
222568,14:05:00,14:05:00,BAL,1,0,0,1
222568,14:12:00,14:12:00,WBL,2,0,0,1
222568,14:18:00,14:18:00,HAE,3,0,0,1
222568,14:25:00,14:25:00,BWI,4,0,0,1
222568,14:32:00,14:32:00,OTN,5,0,0,1
222568,14:38:00,14:38:00,BWE,6,0,0,1
222568,14:55:00,14:55:00,NCR,7,0,0,1
222568,15:06:00,15:06:00,WAS,8,0,0,1
222570,16:28:00,16:28:00,WAS,1,0,0,1
222570,16:39:00,16:39:00,NCR,2,0,0,1
222570,16:47:00,16:47:00,BWE,3,0,0,1
222570,16:53:00,16:53:00,OTN,4,0,0,1
222570,17:05:00,17:05:00,BWI,5,0,0,1
222570,17:11:00,17:11:00,HAE,6,0,0,1
222570,17:18:00,17:18:00,WBL,7,0,0,1
222570,17:28:00,17:28:00,BAL,8,0,0,1
222572,8:55:00,8:55:00,WAS,1,0,0,1
222572,9:06:00,9:06:00,NCR,2,0,0,1
